;;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;;
ENEMDU;dic-10;Población en Edad de Trabajar (PET);10.291.500;6.976.934;3.314.567;5.003.062;5.288.438;;;;;;;;;;;;
ENEMDU;dic-10;Población Económicamente Activa;6.436.257;4.318.937;2.117.320;3.898.390;2.537.866;;;;;;;;;;;;
ENEMDU;dic-10;Empleo;6.113.230;4.054.350;2.058.880;3.738.807;2.374.423;;;;;;;;;;;;
ENEMDU;dic-10;Empleo Adecuado/Pleno;2.875.533;2.326.713;548.819;1.950.471;925.062;;;;;;;;;;;;
ENEMDU;dic-10;Subempleo;889.255;559.150;330.106;550.026;339.229;;;;;;;;;;;;
ENEMDU;dic-10;Subempleo por insuficiencia de tiempo de trabajo;673.317;430.631;242.685;393.098;280.219;;;;;;;;;;;;
ENEMDU;dic-10;Subempleo por insuficiencia de ingresos;215.939;128.518;87.420;156.928;59.011;;;;;;;;;;;;
ENEMDU;dic-10;Empleo no remunerado;528.991;178.786;350.206;171.282;357.709;;;;;;;;;;;;
ENEMDU;dic-10;Otro Empleo no pleno;1.765.688;939.902;825.786;1.037.384;728.304;;;;;;;;;;;;
ENEMDU;dic-10;Empleo no clasificado;53.763;49.800;3.963;29.644;24.119;;;;;;;;;;;;
ENEMDU;dic-10;Desempleo;323.027;264.587;58.440;159.583;163.443;;;;;;;;;;;;
ENEMDU;dic-10;Desempleo Abierto;224.553;195.799;28.754;118.170;106.383;;;;;;;;;;;;
ENEMDU;dic-10;Desempleo Oculto;98.474;68.788;29.686;41.413;57.061;;;;;;;;;;;;
ENEMDU;dic-10;Desempleo Cesante;216.213;184.231;31.982;116.852;99.361;;;;;;;;;;;;
ENEMDU;dic-10;Desempleo Nuevo;106.814;80.355;26.458;42.731;64.082;;;;;;;;;;;;
ENEMDU;dic-10;Población Económicamente Inactiva;3.855.244;2.657.997;1.197.247;1.104.672;2.750.572;;;;;;;;;;;;
ENEMDU;jun-11;Población Total;14.378.837;9.544.628;4.834.209;7.029.208;7.349.629;;;;;;;;;;;;
ENEMDU;jun-11;Población menor de 15 años;3.902.852;2.433.764;1.469.088;1.962.190;1.940.663;;;;;;;;;;;;
ENEMDU;jun-11;Población en Edad de Trabajar (PET);10.475.984;7.110.864;3.365.121;5.067.018;5.408.966;;;;;;;;;;;;
ENEMDU;jun-11;Población Económicamente Activa;6.553.789;4.380.711;2.173.078;3.933.550;2.620.239;;;;;;;;;;;;
ENEMDU;jun-11;Empleo;6.224.584;4.101.975;2.122.609;3.764.553;2.460.031;;;;;;;;;;;;
ENEMDU;jun-11;Empleo Adecuado/Pleno;2.789.525;2.279.869;509.656;1.873.207;916.317;;;;;;;;;;;;
ENEMDU;jun-11;Subempleo;781.525;505.913;275.612;470.628;310.897;;;;;;;;;;;;
ENEMDU;jun-11;Subempleo por insuficiencia de tiempo de trabajo;582.663;389.031;193.632;332.053;250.610;;;;;;;;;;;;
ENEMDU;jun-11;Subempleo por insuficiencia de ingresos;198.862;116.882;81.980;138.574;60.287;;;;;;;;;;;;
ENEMDU;jun-11;Empleo no remunerado;559.469;196.896;362.573;175.415;384.054;;;;;;;;;;;;
ENEMDU;jun-11;Otro Empleo no pleno;2.032.999;1.061.550;971.449;1.207.640;825.359;;;;;;;;;;;;
ENEMDU;jun-11;Empleo no clasificado;61.066;57.747;3.320;37.662;23.404;;;;;;;;;;;;
ENEMDU;jun-11;Desempleo;329.205;278.736;50.469;168.998;160.207;;;;;;;;;;;;
ENEMDU;jun-11;Desempleo Abierto;250.069;226.439;23.629;131.911;118.157;;;;;;;;;;;;
ENEMDU;jun-11;Desempleo Oculto;79.136;52.296;26.840;37.086;42.050;;;;;;;;;;;;
ENEMDU;jun-11;Desempleo Cesante;218.409;194.725;23.684;122.714;95.695;;;;;;;;;;;;
ENEMDU;jun-11;Desempleo Nuevo;110.796;84.011;26.785;46.283;64.512;;;;;;;;;;;;
ENEMDU;jun-11;Población Económicamente Inactiva;3.922.196;2.730.153;1.192.043;1.133.468;2.788.728;;;;;;;;;;;;
ENEMDU;dic-11;Población Total;14.478.129;9.610.538;4.867.591;7.078.625;7.399.504;;;;;;;;;;;;
ENEMDU;dic-11;Población menor de 15 años;3.945.126;2.506.354;1.438.772;1.997.318;1.947.808;;;;;;;;;;;;
ENEMDU;dic-11;Población en Edad de Trabajar (PET);10.533.003;7.104.184;3.428.819;5.081.307;5.451.696;;;;;;;;;;;;
ENEMDU;dic-11;Población Económicamente Activa;6.581.621;4.436.865;2.144.756;3.976.254;2.605.367;;;;;;;;;;;;
ENEMDU;dic-11;Empleo;6.304.834;4.212.188;2.092.646;3.844.507;2.460.327;;;;;;;;;;;;
ENEMDU;dic-11;Empleo Adecuado/Pleno;2.996.566;2.460.350;536.215;2.061.313;935.253;;;;;;;;;;;;
ENEMDU;dic-11;Subempleo;706.458;421.914;284.544;428.949;277.509;;;;;;;;;;;;
ENEMDU;dic-11;Subempleo por insuficiencia de tiempo de trabajo;560.164;347.668;212.497;324.462;235.703;;;;;;;;;;;;
ENEMDU;dic-11;Subempleo por insuficiencia de ingresos;146.294;74.247;72.047;104.487;41.806;;;;;;;;;;;;
ENEMDU;dic-11;Empleo no remunerado;505.484;204.302;301.182;148.889;356.595;;;;;;;;;;;;
ENEMDU;dic-11;Otro Empleo no pleno;2.056.875;1.089.496;967.379;1.178.723;878.152;;;;;;;;;;;;
ENEMDU;dic-11;Empleo no clasificado;39.451;36.125;3.326;26.633;12.817;;;;;;;;;;;;
ENEMDU;dic-11;Desempleo;276.787;224.678;52.109;131.747;145.040;;;;;;;;;;;;
ENEMDU;dic-11;Desempleo Abierto;196.178;172.349;23.830;95.982;100.196;;;;;;;;;;;;
ENEMDU;dic-11;Desempleo Oculto;80.609;52.329;28.280;35.765;44.844;;;;;;;;;;;;
ENEMDU;dic-11;Desempleo Cesante;171.376;146.006;25.370;87.829;83.547;;;;;;;;;;;;
ENEMDU;dic-11;Desempleo Nuevo;105.411;78.672;26.739;43.918;61.493;;;;;;;;;;;;
ENEMDU;dic-11;Población Económicamente Inactiva;3.951.382;2.667.319;1.284.064;1.105.053;2.846.329;;;;;;;;;;;;
ENEMDU;jun-12;Población Total;14.578.732;9.679.099;4.899.633;7.181.449;7.397.283;;;;;;;;;;;;
ENEMDU;jun-12;Población menor de 15 años;3.905.374;2.472.030;1.433.344;1.990.305;1.915.069;;;;;;;;;;;;
ENEMDU;jun-12;Población en Edad de Trabajar (PET);10.673.358;7.207.069;3.466.289;5.191.144;5.482.214;;;;;;;;;;;;
ENEMDU;jun-12;Población Económicamente Activa;6.870.842;4.578.419;2.292.423;4.117.591;2.753.251;;;;;;;;;;;;
ENEMDU;jun-12;Empleo;6.588.271;4.340.349;2.247.922;3.969.749;2.618.522;;;;;;;;;;;;
ENEMDU;jun-12;Empleo Adecuado/Pleno;3.104.824;2.506.161;598.662;2.093.385;1.011.439;;;;;;;;;;;;
ENEMDU;jun-12;Subempleo;664.982;410.168;254.815;400.104;264.878;;;;;;;;;;;;
ENEMDU;jun-12;Subempleo por insuficiencia de tiempo de trabajo;542.328;343.767;198.561;312.108;230.220;;;;;;;;;;;;
ENEMDU;jun-12;Subempleo por insuficiencia de ingresos;122.654;66.400;56.254;87.996;34.658;;;;;;;;;;;;
ENEMDU;jun-12;Empleo no remunerado;658.523;225.163;433.360;204.090;454.432;;;;;;;;;;;;
ENEMDU;jun-12;Otro Empleo no pleno;2.063.391;1.107.179;956.213;1.213.555;849.837;;;;;;;;;;;;
ENEMDU;jun-12;Empleo no clasificado;96.551;91.678;4.872;58.614;37.937;;;;;;;;;;;;
ENEMDU;jun-12;Desempleo;282.571;238.070;44.501;147.842;134.729;;;;;;;;;;;;
ENEMDU;jun-12;Desempleo Abierto;224.048;199.327;24.721;115.049;108.999;;;;;;;;;;;;
ENEMDU;jun-12;Desempleo Oculto;58.523;38.743;19.780;32.793;25.730;;;;;;;;;;;;
ENEMDU;jun-12;Desempleo Cesante;194.431;172.852;21.579;108.965;85.467;;;;;;;;;;;;
ENEMDU;jun-12;Desempleo Nuevo;88.140;65.217;22.922;38.877;49.262;;;;;;;;;;;;
ENEMDU;jun-12;Población Económicamente Inactiva;3.802.516;2.628.650;1.173.866;1.073.553;2.728.964;;;;;;;;;;;;
ENEMDU;dic-12;Población Total;14.682.556;9.745.918;4.936.638;7.203.607;7.478.950;;;;;;;;;;;;
ENEMDU;dic-12;Población menor de 15 años;3.818.409;2.423.369;1.395.041;1.951.840;1.866.569;;;;;;;;;;;;
ENEMDU;dic-12;Población en Edad de Trabajar (PET);10.864.147;7.322.550;3.541.598;5.251.767;5.612.380;;;;;;;;;;;;
ENEMDU;dic-12;Población Económicamente Activa;6.701.014;4.504.356;2.196.658;4.038.253;2.662.761;;;;;;;;;;;;
ENEMDU;dic-12;Empleo;6.424.840;4.279.017;2.145.823;3.890.159;2.534.681;;;;;;;;;;;;
ENEMDU;dic-12;Empleo Adecuado/Pleno;3.118.174;2.546.940;571.234;2.082.635;1.035.538;;;;;;;;;;;;
ENEMDU;dic-12;Subempleo;603.890;345.283;258.607;349.831;254.059;;;;;;;;;;;;
ENEMDU;dic-12;Subempleo por insuficiencia de tiempo de trabajo;485.512;288.186;197.326;269.946;215.566;;;;;;;;;;;;
ENEMDU;dic-12;Subempleo por insuficiencia de ingresos;118.378;57.097;61.281;79.885;38.493;;;;;;;;;;;;
ENEMDU;dic-12;Empleo no remunerado;537.431;212.515;324.916;172.998;364.433;;;;;;;;;;;;
ENEMDU;dic-12;Otro Empleo no pleno;2.018.582;1.035.693;982.889;1.196.931;821.651;;;;;;;;;;;;
ENEMDU;dic-12;Empleo no clasificado;146.763;138.587;8.176;87.764;58.999;;;;;;;;;;;;
ENEMDU;dic-12;Desempleo;276.174;225.339;50.835;148.093;128.081;;;;;;;;;;;;
ENEMDU;dic-12;Desempleo Abierto;210.173;180.684;29.489;115.125;95.048;;;;;;;;;;;;
ENEMDU;dic-12;Desempleo Oculto;66.001;44.654;21.346;32.968;33.033;;;;;;;;;;;;
ENEMDU;dic-12;Desempleo Cesante;166.212;141.854;24.358;96.280;69.932;;;;;;;;;;;;
